h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0.003183073,0.0,0.098580138,0.436002271,0.518943793,0.657678854,0.452074479,0.48168248,0.481772495,0.481350198,0.480048709,0.480884464,0.479440254,0.464645218,0.768173356,0.99367303,1.0,1.0,0.998703847,0.647882093,0.354303433,0.132908917,0.005611029
0.0,0.000769459,0.0535958,0.321285805,0.476051832,0.472752537,0.474935504,0.482910528,0.481903507,0.481889659,0.480743297,0.475444598,0.429199901,0.409820645,0.740771178,0.964666278,1.0,1.0,1.0,0.941662093,0.442353997,0.306539713,0.131289759
0.897148003,0.297119489,0.187514736,0.184370897,0.172596512,0.29742407,0.486717683,0.620414741,0.740288267,0.743560176,0.736308493,0.660980803,0.604106406,0.737002855,0.790525607,0.892272211,1.0,0.760553592,0.804584317,0.502324975,0.0,0.248086463,0.184180795
0.181350642,0.180591789,0.225562869,0.451858286,0.567162699,0.57654251,0.57292503,0.568510351,0.564237201,0.571267323,0.571749852,0.568296807,0.546810365,0.497904034,0.565951427,0.783302653,0.99854886,1.0,1.0,1.0,0.938489718,0.623357449,0.0
0.175709622,0.18005186,0.192687019,0.0,0.547112567,0.561914985,0.54905711,0.567502709,0.560693957,0.574962256,0.569204189,0.553162697,0.531786322,0.506397993,0.78596638,0.997656591,1.0,1.0,1.0,1.0,1.0,0.99916862,0.803219243
0.000305836,0.0,0.079834525,0.361607828,0.472601784,0.468312398,0.478535364,0.478630472,0.476164513,0.476619017,0.47674437,0.478132682,0.43325914,0.45930262,0.762875752,0.956478495,1.0,1.0,1.0,0.996019299,0.691078191,0.379043535,0.131477959
0.174539742,0.179666109,0.200168577,0.0,0.465843753,0.569479826,0.574420265,0.574962256,0.574962256,0.574962256,0.574962256,0.574905833,0.574962256,0.433736512,0.5971272,0.789197212,0.862443384,0.872964327,0.998002553,1.0,1.0,1.0,0.997083244
0.000995143,0.0,0.070249101,0.371303854,0.466278274,0.482130232,0.478456324,0.479934911,0.474694236,0.479403213,0.441887887,0.481734191,0.481734191,0.348947486,0.696840359,0.870695761,1.0,1.0,1.0,1.0,0.851602699,0.433214679,0.306821363
0.384238857,0.160912072,0.028368526,0.021912197,0.0,0.178985143,0.438294725,0.568143959,0.618350557,0.808180681,0.797335578,0.792687189,0.683766798,0.775652619,0.921299431,0.91884543,1.0,1.0,0.870898421,0.494408803,0.406101179,0.178985143,0.020314562
0.172335182,0.180183206,0.19564363,0.0,0.52617933,0.571889021,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.574962256,0.0,0.433038372,0.571767923,0.805182309,0.998346641,1.0,1.0,1.0,1.0,1.0,0.999933564
